municipality,rightwing,leftwing
Ale,1,0
Alingsås,1,0
Alvesta,0,0
Aneby,0,1
Arboga,0,0
Arjeplog,1,0
Arvidsjaur,1,0
Arvika,1,0
Askersund,1,0
Avesta,1,0
Bengtsfors,0,0
Berg,1,0
Bjurholm,0,1
Bjuv,0,0
Boden,0,0
Bollebygd,1,0
Bollnäs,0,0
Borgholm,1,0
Borlänge,1,0
Borås,1,0
Botkyrka,1,0
Boxholm,1,0
Bromölla,1,0
Bräcke,0,0
Burlöv,0,0
Båstad,0,1
Dals-Ed,0,1
Danderyd,0,1
Degerfors,1,0
Dorotea,0,0
Eda,0,0
Ekerö,0,1
Eksjö,0,1
Emmaboda,1,0
Enköping,1,0
Eskilstuna,0,0
Eslöv,0,0
Essunga,0,1
Fagersta,1,0
Falkenberg,0,1
Falköping,0,0
Falun,0,0
Filipstad,0,0
Finspång,1,0
Flen,0,0
Forshaga,1,0
Färgelanda,0,0
Gagnef,1,0
Gislaved,0,0
Gnesta,0,0
Gnosjö,0,1
Gotland,1,0
Grums,1,0
Grästorp,0,1
Gullspång,0,0
Gällivare,0,0
Gävle,0,1
Göteborg,1,0
Götene,1,0
Habo,0,0
Hagfors,1,0
Hallsberg,1,0
Hallstahammar,1,0
Halmstad,0,1
Hammarö,0,0
Haninge,0,0
Haparanda,1,0
Heby,0,1
Hedemora,0,0
Helsingborg,0,1
Herrljunga,0,0
Hjo,0,1
Hofors,0,0
Huddinge,0,1
Hudiksvall,1,0
Hultsfred,0,1
Hylte,0,0
Håbo,0,1
Hällefors,0,0
Härjedalen,0,1
Härnösand,1,0
Härryda,0,1
Hässleholm,0,0
Höganäs,0,1
Högsby,0,1
Hörby,0,0
Höör,0,1
Jokkmokk,1,0
Järfälla,0,0
Jönköping,0,1
Kalix,1,0
Kalmar,0,0
Karlsborg,0,0
Karlshamn,0,0
Karlskoga,0,0
Karlskrona,0,0
Karlstad,0,1
Katrineholm,0,0
Kil,0,0
Kinda,0,0
Kiruna,0,0
Klippan,0,0
Knivsta,0,1
Kramfors,1,0
Kristianstad,0,0
Kristinehamn,1,0
Krokom,0,1
Kumla,0,0
Kungsbacka,0,1
Kungsör,0,0
Kungälv,0,0
Kävlinge,0,1
Köping,1,0
Laholm,0,1
Landskrona,0,1
Laxå,0,1
Lekeberg,0,1
Leksand,0,1
Lerum,0,0
Lessebo,1,0
Lidingö,0,1
Lidköping,1,0
Lilla Edet,0,0
Lindesberg,0,0
Linköping,0,0
Ljungby,0,1
Ljusdal,0,0
Ljusnarsberg,1,0
Lomma,0,1
Ludvika,1,0
Luleå,1,0
Lund,1,0
Lycksele,1,0
Lysekil,0,0
Malmö,1,0
Malung-Sälen,0,0
Malå,1,0
Mariestad,0,1
Mark,0,1
Markaryd,0,1
Mellerud,0,0
Mjölby,0,0
Mora,0,1
Motala,1,0
Mullsjö,1,0
Munkedal,0,0
Munkfors,1,0
Mölndal,0,0
Mönsterås,0,1
Mörbylånga,0,1
Nacka,0,1
Nora,1,0
Norberg,1,0
Nordanstig,0,0
Nordmaling,0,1
Norrköping,0,0
Norrtälje,0,0
Norsjö,1,0
Nybro,0,1
Nykvarn,0,1
Nyköping,1,0
Nynäshamn,0,0
Nässjö,0,0
Ockelbo,0,0
Olofström,1,0
Orsa,0,1
Orust,0,0
Osby,1,0
Oskarshamn,0,0
Ovanåker,0,0
Oxelösund,1,0
Pajala,1,0
Partille,0,1
Perstorp,0,0
Piteå,1,0
Ragunda,1,0
Robertsfors,1,0
Ronneby,0,1
Rättvik,0,1
Sala,0,1
Salem,0,1
Sandviken,0,0
Sigtuna,0,0
Simrishamn,0,0
Sjöbo,0,1
Skara,0,0
Skellefteå,1,0
Skinnskatteberg,0,1
Skurup,1,0
Skövde,0,1
Smedjebacken,1,0
Sollefteå,1,0
Sollentuna,0,1
Solna,0,1
Sorsele,0,0
Sotenäs,0,1
Staffanstorp,0,1
Stenungsund,1,0
Stockholm,1,0
Storfors,1,0
Storuman,0,1
Strängnäs,0,0
Strömstad,0,1
Strömsund,1,0
Sundbyberg,0,1
Sundsvall,0,0
Sunne,0,1
Surahammar,0,0
Svalöv,0,0
Svedala,0,1
Svenljunga,0,0
Säffle,0,1
Säter,0,0
Sävsjö,0,0
Söderhamn,1,0
Söderköping,0,0
Södertälje,1,0
Sölvesborg,1,0
Tanum,0,1
Tibro,0,0
Tidaholm,1,0
Tierp,1,0
Timrå,1,0
Tingsryd,0,0
Tjörn,0,1
Tomelilla,0,1
Torsby,0,0
Torsås,0,0
Tranemo,0,0
Tranås,0,1
Trelleborg,0,0
Trollhättan,1,0
Trosa,0,1
Tyresö,0,1
Täby,0,1
Töreboda,0,1
Uddevalla,1,0
Ulricehamn,1,0
Umeå,1,0
Upplands Väsby,1,0
Upplands-Bro,0,0
Uppsala,1,0
Uppvidinge,0,1
Vadstena,1,0
Vaggeryd,0,1
Valdemarsvik,1,0
Vallentuna,0,1
Vansbro,0,0
Vara,1,0
Varberg,0,1
Vaxholm,0,1
Vellinge,0,1
Vetlanda,1,0
Vilhelmina,1,0
Vimmerby,0,0
Vindeln,1,0
Vingåker,1,0
Vårgårda,0,1
Vänersborg,0,0
Vännäs,1,0
Värmdö,0,1
Värnamo,0,1
Västervik,0,0
Västerås,0,0
Växjö,0,1
Ydre,0,0
Ystad,0,0
Åmål,1,0
Ånge,1,0
Åre,0,0
Årjäng,0,0
Åsele,0,1
Åstorp,0,0
Åtvidaberg,0,0
Älmhult,1,0
Älvdalen,1,0
Älvkarleby,1,0
Älvsbyn,1,0
Ängelholm,0,0
Öckerö,0,1
Ödeshög,0,0
Örebro,0,0
Örkelljunga,0,1
Örnsköldsvik,1,0
Östersund,1,0
Österåker,0,1
Östhammar,0,0
Östra Göinge,0,1
Överkalix,0,0
Övertorneå,0,1